Country,Mammals,Birds,Reptiles,Amphibians,Fish,  Marine Fish,  Freshwater Fish,Vascular plants,Mosses,Lichens,Invertebrates
Australia,28.4,16.9,5.5,16.3,1,0.3,12.1,5.9,0.1,..,0.1
Austria,26,28.8,64.3,57.1,39.4,..,39.4,35.8,23.4,21.1,1.8
Belgium,21.4,27.8,40,31.6,20.4,14.1,34.9,23.3,26.9,59.1,10.8
Canada,24.8,14,64.4,39.1,6.5,4.4,22.1,18.2,28.8,12.3,7.4
Chile,19.5,9,37.1,67.7,3,0.1,51.4,7,1,0.1,1
Colombia,6.8,6.4,6.9,34.3,2.6,0.5,3.2,1.7,2.6,0,0.4
Costa Rica,8.7,3.4,6.6,31.4,5.3,..,..,8.1,50,..,6.9
Czech Republic,16.3,44.8,53.8,76.2,31.3,..,31.3,40.2,25.3,37.3,10.4
Denmark,12.7,34.9,12.5,33.3,3.4,..,14.5,5.6,11.3,22.1,14.1
Estonia,4.5,40.6,40,27.3,8.7,6.1,16.7,10.1,26.6,32.6,1.3
Finland,11.3,34,16.7,10,13.6,8,15.9,8.1,33.6,25.1,8.9
France,13.6,27,23.7,22.9,16,13.3,18.8,8.5,..,..,20.7
Germany,36.4,33.6,69.2,47.6,24.9,22.3,27.2,32.8,34.2,44.2,36
Greece,25.2,14.1,13.6,26.1,9.5,2.7,31.8,4.4,..,..,..
Hungary,16.1,32.8,26.7,11.1,43.2,..,43.2,14,26.3,15.8,27.6
Iceland,..,44,..,..,..,..,..,11.9,..,..,..
Ireland,1.8,27.2,0,33.3,..,4.5,17.9,9.6,19,..,14.6
Italy,18.3,24.1,19.6,31.8,7.3,4,25.8,7.6,19.6,5.7,0.8
Japan,21.3,14,37,51.6,4.3,0.4,42.3,25.6,13.3,3.9,1.2
Korea,11.2,9.9,15.6,18.5,1.8,..,10.7,4.1,..,..,0.6
Latvia,8.1,16.7,28.6,30.8,2.3,2.4,2.2,10.8,10.9,3.5,0.5
Lithuania,10.3,14.4,28.6,30.8,4.8,2,7.4,9.7,10.2,17.2,0.4
Luxembourg,..,19.8,33.3,28.6,27.9,..,27.9,26.8,..,..,15.4
Mexico,26.2,21.8,17.8,14,6.3,0.2,30.9,2.4,0.2,..,..
Netherlands,18.9,24.4,71.4,43.8,23.7,17.5,32.5,25.5,23.6,22.8,32
New Zealand,..,..,..,..,..,..,..,..,1.5,0.8,4.6
Norway,23.9,26.5,..,33.3,5.9,6.4,3.1,21.6,22.1,19.2,8.9
Poland,11.6,7.5,25,..,19.8,5.6,22.1,15.3,11.8,33,3.2
Portugal,19.6,28.2,20.4,10,33.8,..,..,..,..,..,..
Slovak Republic,22.2,24.2,41.7,44.4,15.2,..,15.2,14.6,44.6,23.7,6.5
Slovenia,38.2,27.6,75,81,18.3,5.3,47.1,9.7,..,..,..
Spain,15.1,10.6,18.1,23.1,3.7,0.6,42.4,13.7,5.1,..,0.6
Sweden,13.8,21.3,33.3,23.1,15.2,17.5,7.1,16.7,14.8,..,2.8
Switzerland,34,37.1,68.4,73.7,37.8,..,37.8,27.2,33.6,32.7,34.5
Türkiye,13.1,11,15.1,20.5,10.9,..,25.5,1.6,..,..,0.4
United Kingdom,10.3,17.1,13.3,13.3,..,..,..,8.6,13.4,6.6,1.4
