country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,"425,624.31","425,686.45","429,473.09","430,381.73","430,848.50","439,269.88","445,847.23","457,864.51","472,145.83","478,136.88","489,528.65","497,352.03","501,000.84","501,128.98","518,408.44","524,811.85","529,240.64","535,807.55","538,590.71","541,475.79","536,893.74","538,663.88","541,899.74","532,267.34","526,711.78","534,936.02","543,976.81","550,874.87","552,484.03","546,200.22","527,737.05"
Austria,"78,423.22","82,095.39","75,464.12","75,806.35","76,039.47","79,283.43","82,482.78","82,134.09","81,452.38","79,922.25","80,085.03","83,989.24","85,747.07","91,209.62","90,856.24","92,029.50","89,606.98","86,841.36","86,259.02","79,584.52","84,150.23","82,007.46","79,309.94","79,772.02","76,235.15","78,486.74","79,468.30","81,792.16","78,558.03","79,740.74","73,592.02"
Belgium,"145,686.76","148,406.62","148,007.19","146,865.84","151,469.48","153,593.38","157,305.33","148,839.89","154,012.68","147,781.82","148,879.16","147,320.47","147,403.73","147,701.44","148,537.13","145,549.73","142,712.58","139,072.47","138,989.57","126,354.11","133,645.77","123,133.69","120,361.60","120,458.32","114,768.44","118,955.47","117,417.88","117,097.88","117,594.04","116,448.19","106,433.26"
Canada,"594,722.24","587,905.79","605,290.25","607,681.08","628,145.87","645,455.30","666,701.91","682,299.00","688,613.93","701,758.71","726,987.28","718,320.04","724,281.13","743,286.85","745,194.05","741,182.84","734,586.99","756,833.26","739,063.15","697,734.95","709,654.06","720,820.93","725,587.10","732,162.30","729,599.78","732,536.87","715,095.86","725,015.65","740,006.27","738,283.45","672,354.02"
Chile,"49,209.47","47,321.20","48,984.82","51,438.60","54,532.77","57,903.80","63,845.68","71,466.73","72,442.96","75,285.86","73,001.38","71,105.38","72,364.80","73,100.83","79,173.64","80,296.41","82,822.36","91,553.25","91,393.90","88,098.22","87,942.07","96,508.95","102,424.84","102,678.36","99,268.13","106,342.22","110,156.04","111,215.64","112,312.62",..,..
Colombia,"101,878.75","104,424.76","109,571.27","111,662.30","113,044.86","115,599.56","117,221.56","123,168.80","123,130.08","117,878.85","120,643.72","119,766.76","120,091.27","124,665.55","127,551.86","132,469.34","136,731.40","139,037.59","140,123.04","145,672.90","155,060.42","154,098.61","157,725.86","162,655.74","165,839.29","170,637.07","175,628.86","171,035.50","180,727.24",..,..
Costa Rica,"8,196.56","8,056.64","8,797.32","8,892.50","9,622.28","9,693.60","9,562.84","9,272.53","9,811.83","9,951.70","9,945.75","10,292.00","10,518.51","10,892.97","10,924.16","11,196.01","11,817.56","12,678.70","12,709.38","12,534.57","12,895.96","13,284.87","13,405.56","13,735.74","13,850.14","13,603.64","14,234.46","14,477.60",..,..,..
Czech Republic,"196,955.24","178,725.42","173,319.62","166,101.38","157,398.17","156,320.85","159,433.59","154,987.14","148,909.79","139,213.24","149,594.37","149,698.64","146,097.00","149,239.93","150,302.64","148,097.96","149,370.88","151,128.30","146,108.24","136,747.68","139,549.87","138,116.49","134,176.04","128,913.03","126,728.25","128,158.54","129,495.19","130,553.18","128,733.42","122,895.33","112,788.58"
Denmark,"71,429.97","82,054.15","76,040.82","78,197.70","82,105.13","79,174.87","92,340.46","82,916.57","78,885.86","76,380.86","72,100.87","73,820.46","73,239.92","78,316.45","72,333.08","67,944.27","75,696.14","71,086.70","67,493.88","64,703.09","65,011.36","59,786.04","55,194.77","56,919.35","52,740.34","50,125.46","52,158.40","50,038.34","49,963.81","46,145.43","43,457.98"
Estonia,"40,175.18","37,295.32","27,136.66","21,688.57","22,181.18","20,080.53","21,033.53","20,750.10","19,000.00","17,851.35","17,479.52","17,909.59","17,313.11","19,262.29","19,390.54","19,157.49","18,501.97","22,105.77","20,050.27","16,570.91","21,180.81","21,134.14","20,023.45","21,931.18","21,104.45","18,036.69","19,721.59","20,965.47","20,125.74","14,636.12","11,555.81"
