Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AUS,195402,206772,213004,205309,210162,214526,218390,227066,228073,232688,237384,240739,236580,235522,232621,238533,243262,243517,247292,250531,251913.481
AUT,59054,60111,59937,57413,61387,63671,61228,61810,63589,66032,67709,62592,69525,65260,62248,61928,64961,68093.595,65383.711,71101.128,69424.515
BEL,80266,76216,78147,80858,80705,82310,81161,84581,81082,87661,91007,87121,79919,80300,69818,67380,82401,83122.9,72065.1,89913.4,86055.1
CAN,586662,570523,582106,570542,580517,601167,590622,608360,613812,590537,584585,614408,613532,638562,639348,638494,646728,644699,639661,634022,633844
CZE,68014,68780,70393,76659,77919,76192,77884,81412,77085,75990,78302,79908,80309,79777,79116,76916,76398,79885.766,80861.141,80116.433,75067.275
DNK,34448,36165,37336,43754,38402,34413,43185,37356,34852,34462,36872,33549,29200,33138,30815,27921,29081,29638.3,29315.485,28689.557,27880.596
FIN,67288,71237,71632,80397,82191,67843,78643,77835,74494,69222,77220,70413,67707,68353,65458,66155,66203,65043,67533,66053,66598
FRA,516109,525951,534837,542213,549322,550035,549179,544362,548444,512285,544299,547532,547922,557982,548732,555145,540420,537849.217,557797.779,547042.793,509273.719
DEU,538489,548166,549288,569713,578577,582874,598995,600683,601150,558760,594414,576247,591431,600926,590874,610292,614332,619053,605651,575864,544894
GRC,49863,49730,50608,54337,54889,55740,56547,59088,59407,56073,53389,53913,53654,52560,46702,47806,50227,50589.215,50083.654,45557,45334.743
HUN,32259,33704,33475,31378,31262,33219,33345,37220,37383,33344,34613,33533,32351,28031,27141,28150,29548,30728,29891,32137,32914
ISL,7554,7892,8272,8356,8475,8513,9796,11784,16166,16521,16746,16851,17296,18000,17803,18558,18172,18846.295,19432.498,19119.793,18778.694
IRL,22685,23679,23926,24065,24413,24791,26122,27435,28927,27127,27442,26365,26479,25116,25312,27623,29691,30093.248,30357.337,30274.252,31519.746
ITA,263305,265981,270799,280203,290047,290635,301259,301299,307065,281106,290746,291442,287803,278833,269148,272428,279703,285265.649,279844.619,283950.056,271647.989
JPN,1027338,1010241,1027805,1018859,1047316,1065925,1070420,1099005,1066173,1049564,1128279,1072626,1061509,1066770,1040486,1024054,1025632,1032692.774,1024901.105,998494.221,975645.741
KOR,277691,297872,317295,329666,352725,372795,388205,410370,428661,434978,480392,503150,514346,521470,530007,528964,540084,545796.002,566845.053,559099.467,556911.298
LUX,1132,1586,3673,3598,4103,4105,4302,3960,3517,3837,4561,3694,3787,2860,2938,2738,2168,2204.811,2170.172,1877.378,2209.68
MEX,195104,201053,206602,206788,223884,235865,245004,251855,258453,256746,264336,280095,284405,287090,290050,297777,302876,308933.13,340878,338805,309880
