Country,1970,1980,1990,1995,2000,2005,2010,2015,2016,2017,2018,2019,2020
Australia,..,..,..,..,..,..,"3,196.00","3,453.50","3,529.00","3,423.40","3,633.20","3,717.90","3,631.00"
Austria,..,550.5,603.7,611.1,..,..,587,..,..,..,..,..,..
Belgium,..,..,..,660.4,541.3,576.9,583.3,568.2,562.7,565.8,569.2,570.9,..
Canada,..,..,..,"5,201.00",..,..,..,"4,265.90",..,"4,066.60",..,..,..
Chile,..,..,..,..,"1,396.30","1,460.90","1,544.20","1,701.90","1,707.70","1,745.60",..,..,..
Colombia,..,..,..,..,..,..,"2,771.90","3,137.90","3,060.60","3,069.40","3,102.30",..,..
Costa Rica,..,..,..,..,..,..,276.7,..,..,..,..,342.5,..
Czech Republic,..,773.1,936.5,655.9,554.1,531.6,500,476.8,478.9,482,490.4,492.6,479
Denmark,..,..,571,470,419.9,420.5,363,345.4,351.8,350.2,361.2,354,365.9
Estonia,..,..,..,..,71.5,..,46.8,50.5,50.2,49.3,48.6,52.8,51.2
Finland,293,389,424,412,..,..,..,..,..,..,..,..,..
Germany,..,..,..,"5,094.00",..,..,"3,961.10",..,"4,145.30",..,..,..,..
Greece,..,750,..,..,..,..,..,"1,147.20","1,292.70","1,288.50","1,290.40","1,291.00","1,291.10"
Hungary,530.8,..,911.1,661.6,560.1,512.9,455,442.2,442,452.8,455.9,463.5,466.3
Iceland,..,62,..,62,..,..,..,..,..,..,..,..,..
Israel,..,"1,700.00","1,804.00","1,983.00","1,924.00","1,961.00","2,127.00","2,047.00","2,215.00","2,256.00","2,206.00","2,238.00","2,254.00"
Italy,..,..,"5,796.70",..,..,"5,369.20",..,"4,874.70",..,..,"4,748.70",..,..
Japan,..,"98,829.00","104,664.00","105,221.00","103,344.00","99,280.00","81,467.00",..,..,..,..,..,..
Korea,..,"3,087.00","5,903.00","7,110.00","7,449.00","7,723.00","7,538.00","7,775.00","7,780.00","7,545.00","7,508.00","7,486.00",..
Latvia,..,..,..,..,92.9,90.9,82.3,73.6,80.8,94,98,97.2,72.3
Lithuania,..,..,..,..,..,..,96.2,100.6,102.2,102.9,108.6,108.7,108.4
Luxembourg,..,34.4,..,..,..,..,..,42.2,42.4,43.2,49.2,43.7,42.8
Mexico,..,..,..,"8,500.00","8,291.00","10,703.50","11,443.10","12,440.80","12,577.10","12,628.50","13,094.00","13,151.00","13,165.00"
Netherlands,943,984,"1,223.00","1,229.00",..,"1,081.40","1,083.60","1,077.40","1,091.40","1,097.50","1,135.00","1,121.30",..
Norway,..,..,..,..,..,..,..,535.3,524.4,525.4,561.7,536.1,526.4
Poland,"1,265.50","2,405.10","2,399.80","2,167.40","1,753.80","1,587.40","1,541.10","1,595.10","1,426.90","1,412.90","1,480.70","1,492.50","1,487.10"
Portugal,..,..,..,..,..,548.9,..,658.5,664.8,683.4,662.6,672.6,..
Slovak Republic,..,502,644,531,457,351.7,310.5,288.1,286.5,294,293,293,294
Slovenia,..,160,166.1,142.8,108.2,119.3,..,112,112.2,116.6,116.4,117.3,118.3
Spain,"1,100.00","1,740.00",..,..,"3,635.10","3,863.60","3,725.00","3,632.80","3,640.20","3,611.80","3,583.40",..,..
Sweden,769,764,752,731,708,737,726,689,..,..,..,..,..
Switzerland,..,"1,103.00","1,162.00","1,067.50",922,877,816,803,804,810,829,815,824
Türkiye,..,..,..,..,..,..,"3,013.60",..,"4,028.30",..,"4,319.90",..,"4,624.60"
United Kingdom,"5,111.00","6,873.00","7,348.00","7,315.30","4,427.40","4,947.60",..,..,..,..,..,..,..
